comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,label
3.6870158,0.43886214,4.726101,1.2600071,1.1139064,1.2619777,5.1133823,0.48056427,Item-Image\0928015_F.jpg
3.6662095,0.48887256,4.7337484,1.2719445,1.1010504,1.2583208,5.0987577,0.474383,Item-Image\0929029_F.jpg
6.2853565,9.151548,7.1835527,4.041777,1.7211673,5.535714,4.0469456,5.8448267,Item-Image\1008001_F.jpg
6.1954646,7.072281,6.9180307,3.1393342,2.4489224,4.795747,4.5502634,4.415133,Item-Image\1008004_F.jpg
6.1844726,4.9842772,6.0604863,2.3825502,2.0537941,4.0655622,4.667767,3.0563085,Item-Image\1008006_F.jpg
5.5270863,6.4708724,6.9906983,2.9105256,0.759253,3.7710907,4.5999584,2.520205,Item-Image\1008007_F.jpg
5.1484404,3.5197763,5.9011497,1.9134774,1.4600081,2.714694,5.044117,1.4473855,Item-Image\1008011_F.jpg
6.1698027,7.848602,7.468482,3.5481973,1.960193,4.7074366,4.535065,5.0110736,Item-Image\1008012_F.jpg
4.217971,1.4359112,5.203396,1.4645674,1.475241,1.6670926,5.2231855,0.841792,Item-Image\1008013_F.jpg
5.7490335,5.2179623,6.1249146,2.4538455,1.8483597,3.5018287,4.690271,2.3109815,Item-Image\1008014_F.jpg
5.3947887,6.0406823,7.0268564,2.8446722,1.736306,3.664168,4.7479362,3.2698224,Item-Image\1008015_F.jpg
5.5916243,5.128396,6.48135,2.4288344,1.7070124,3.5465646,4.8222046,2.5653641,Item-Image\1008016_F.jpg
5.9966884,6.0773354,6.356246,2.6791766,1.8821354,3.952116,4.5726724,3.025371,Item-Image\1008017_F.jpg
5.823697,4.8017616,6.60594,2.449016,1.4211869,3.596252,4.927884,2.993561,Item-Image\1008018_F.jpg
5.3920183,4.2042875,5.959617,2.0950985,1.3950623,3.0890293,4.8727574,1.7210507,Item-Image\1008019_F.jpg
6.334648,6.5979075,6.7434993,2.8666983,2.1766963,4.405259,4.5877934,3.674376,Item-Image\1008020_F.jpg
5.5886917,5.2886662,6.450248,2.5522685,2.1836448,3.5870838,4.9079266,2.8754802,Item-Image\1008021_F.jpg
4.7663803,3.2686799,5.799858,2.0516167,1.5233201,2.396082,5.0257287,1.5437772,Item-Image\1008022_F.jpg
6.1276197,7.705845,7.016693,3.404087,1.6508186,4.682617,4.455617,4.1868725,Item-Image\1008024_F.jpg
5.2994385,4.703102,6.31221,2.3784235,1.7538565,3.317327,4.859995,2.7663372,Item-Image\1008025_F.jpg
5.917812,5.660966,6.5279584,2.695002,2.1108537,3.724447,4.7299304,2.8996012,Item-Image\1008026_F.jpg
5.6276026,5.3291397,6.629114,2.7556505,2.56558,3.6194723,4.8212757,3.5889165,Item-Image\1008027_F.jpg
5.7773013,4.800171,6.218369,2.3592143,1.9024225,3.5670276,4.900109,2.632472,Item-Image\1008028_F.jpg
5.7891994,4.8544016,6.2944193,2.5220428,1.8085856,3.8736663,4.750352,3.4299893,Item-Image\1008029_F.jpg
5.72138,5.729314,6.493415,2.731441,1.6926126,3.6401596,4.6741114,2.7076652,Item-Image\1008030_F.jpg
6.1051416,7.2373557,7.420153,3.1274905,2.7148583,4.1947784,5.077854,4.376086,Item-Image\1008031_F.jpg
4.2323694,1.4538145,5.0026226,1.4167044,1.1198541,1.7482883,5.0642586,0.50420094,Item-Image\1008032_F.jpg
4.824113,3.549048,5.9480166,2.1948905,1.9957628,2.6648345,5.162354,2.2156434,Item-Image\1008033_F.jpg
6.1230865,7.082963,6.6610813,3.1915874,2.535382,4.241646,4.319786,3.781548,Item-Image\1008034_F.jpg
5.859688,7.157839,7.0899115,3.2947724,2.3617742,4.654978,4.606614,4.8402944,Item-Image\1008035_F.jpg
6.1635065,8.09904,7.246107,3.3224218,2.4775963,4.8532495,4.6339827,4.584873,Item-Image\1008036_F.jpg
5.025196,4.401485,6.2469234,2.3290174,1.8505119,2.9747133,5.030405,2.55412,Item-Image\1008037_F.jpg
5.8989954,7.4550486,7.199398,3.143489,2.2796502,4.1568446,4.4838705,3.441696,Item-Image\1008038_F.jpg
6.49424,6.9818764,6.6078906,3.0635986,2.8416429,4.8580365,4.534395,4.533619,Item-Image\1008039_F.jpg
5.719172,5.082494,6.111082,2.5133855,1.8421211,3.6066194,4.8014097,2.689753,Item-Image\1008040_F.jpg
4.561922,2.1202335,5.483514,1.6350718,1.2568692,2.0584972,5.1173525,0.99634415,Item-Image\1008041_F.jpg
5.690765,4.4125695,6.0900764,2.215974,1.9616337,3.5205116,4.9541254,2.4951608,Item-Image\1008042_F.jpg
5.479597,7.0147214,6.843027,3.0604234,1.9090707,4.26668,4.5640793,4.1544347,Item-Image\1008044_F.jpg
5.640845,7.000012,7.079233,3.161575,2.2701235,4.2903194,4.5392027,4.5269628,Item-Image\1008045_F.jpg
5.565749,4.7163076,6.004425,2.319006,1.5521029,3.517238,4.867245,2.3920436,Item-Image\1008046_F.jpg
4.234412,0.9526721,4.9965916,1.3205252,1.2839828,1.6893663,5.138013,0.5755069,Item-Image\1008047_F.jpg
5.7738085,5.6536045,6.4925256,2.6166174,1.6905348,3.6646452,4.709011,2.5785987,Item-Image\1008048_F.jpg
5.2177134,3.8803997,6.008315,2.0843182,1.6702242,2.934956,5.1474953,1.9758902,Item-Image\1008050_F.jpg
3.637642,0.3561998,4.6687727,1.2548698,1.145753,1.2351329,5.109833,0.4830117,Item-Image\1008052_F.jpg
5.7203355,4.538167,6.0292654,2.309977,1.8313694,3.5364616,4.785346,2.6444473,Item-Image\1008053_F.jpg
6.237851,7.4341917,7.4715223,3.4833398,2.1294582,4.589171,4.6521525,5.0325265,Item-Image\1008055_F.jpg
5.957943,7.5851927,7.762711,3.533657,1.5022718,4.307633,4.82037,4.164632,Item-Image\1008056_F.jpg
