comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,label
3.6708293,0.48818156,4.7418594,1.2734706,1.0860357,1.2669535,5.101594,0.46627885,Item-Image\0928015_B.jpg
3.6870158,0.43886214,4.726101,1.2600071,1.1139064,1.2619777,5.1133823,0.48056427,Item-Image\0928015_F.jpg
3.678386,0.49777168,4.745491,1.2744248,1.0881674,1.2726231,5.099578,0.46689188,Item-Image\0929029_B.jpg
3.6662095,0.48887256,4.7337484,1.2719445,1.1010504,1.2583208,5.0987577,0.474383,Item-Image\0929029_F.jpg
6.4171553,9.030645,7.210944,3.9311326,1.7318763,5.646265,4.130309,5.7155113,Item-Image\1008001_B.jpg
6.2853565,9.151548,7.1835527,4.041777,1.7211673,5.535714,4.0469456,5.8448267,Item-Image\1008001_F.jpg
6.259983,7.276031,6.902998,3.1414132,2.4410253,4.910244,4.688079,4.3791676,Item-Image\1008004_B.jpg
6.1954646,7.072281,6.9180307,3.1393342,2.4489224,4.795747,4.5502634,4.415133,Item-Image\1008004_F.jpg
6.2019534,4.9776077,6.0165043,2.401667,2.0887341,4.073832,4.676338,3.0180247,Item-Image\1008006_B.jpg
6.1844726,4.9842772,6.0604863,2.3825502,2.0537941,4.0655622,4.667767,3.0563085,Item-Image\1008006_F.jpg
5.3119974,6.677554,6.8613677,2.8772795,0.7076743,3.6250095,4.6167064,2.291191,Item-Image\1008007_B.jpg
5.5270863,6.4708724,6.9906983,2.9105256,0.759253,3.7710907,4.5999584,2.520205,Item-Image\1008007_F.jpg
5.020988,3.3484542,5.727785,1.8125849,1.4006379,2.5896182,5.0278053,1.2927092,Item-Image\1008011_B.jpg
5.1484404,3.5197763,5.9011497,1.9134774,1.4600081,2.714694,5.044117,1.4473855,Item-Image\1008011_F.jpg
6.178692,7.527609,7.5911255,3.4496145,2.0773497,4.6216516,4.553012,4.957622,Item-Image\1008012_B.jpg
6.1698027,7.848602,7.468482,3.5481973,1.960193,4.7074366,4.535065,5.0110736,Item-Image\1008012_F.jpg
4.2697215,1.6222908,5.246161,1.4976289,1.4019529,1.7071314,5.2113967,0.8041698,Item-Image\1008013_B.jpg
4.217971,1.4359112,5.203396,1.4645674,1.475241,1.6670926,5.2231855,0.841792,Item-Image\1008013_F.jpg
5.712934,4.94453,6.245064,2.3972347,1.8371451,3.4509556,4.6974277,2.3118944,Item-Image\1008014_B.jpg
5.7490335,5.2179623,6.1249146,2.4538455,1.8483597,3.5018287,4.690271,2.3109815,Item-Image\1008014_F.jpg
5.370081,5.984581,6.977687,2.8976748,1.7740446,3.6174383,4.7394824,3.2391806,Item-Image\1008015_B.jpg
5.3947887,6.0406823,7.0268564,2.8446722,1.736306,3.664168,4.7479362,3.2698224,Item-Image\1008015_F.jpg
5.573391,5.127775,6.4864497,2.435959,1.6792991,3.5389843,4.825526,2.5001693,Item-Image\1008016_B.jpg
5.5916243,5.128396,6.48135,2.4288344,1.7070124,3.5465646,4.8222046,2.5653641,Item-Image\1008016_F.jpg
6.058261,6.2178087,6.33014,2.7569134,1.9089202,4.0389605,4.619547,3.0743062,Item-Image\1008017_B.jpg
5.9966884,6.0773354,6.356246,2.6791766,1.8821354,3.952116,4.5726724,3.025371,Item-Image\1008017_F.jpg
5.909527,5.022476,6.591986,2.4917517,1.4959241,3.7039926,4.908563,3.0533478,Item-Image\1008018_B.jpg
5.823697,4.8017616,6.60594,2.449016,1.4211869,3.596252,4.927884,2.993561,Item-Image\1008018_F.jpg
5.3413706,3.6242437,5.776224,1.9498484,1.3233157,2.9447622,4.9501286,1.6645939,Item-Image\1008019_B.jpg
5.3920183,4.2042875,5.959617,2.0950985,1.3950623,3.0890293,4.8727574,1.7210507,Item-Image\1008019_F.jpg
6.3735967,6.77864,6.748646,2.8994994,1.9597158,4.499208,4.5023985,3.6847563,Item-Image\1008020_B.jpg
6.334648,6.5979075,6.7434993,2.8666983,2.1766963,4.405259,4.5877934,3.674376,Item-Image\1008020_F.jpg
5.5139337,5.0420904,6.4107475,2.5437417,2.1333134,3.649269,4.917004,3.0894084,Item-Image\1008021_B.jpg
5.5886917,5.2886662,6.450248,2.5522685,2.1836448,3.5870838,4.9079266,2.8754802,Item-Image\1008021_F.jpg
4.769311,3.1313102,5.713479,2.0293174,1.7143738,2.3578906,5.045763,1.5800418,Item-Image\1008022_B.jpg
4.7663803,3.2686799,5.799858,2.0516167,1.5233201,2.396082,5.0257287,1.5437772,Item-Image\1008022_F.jpg
6.1360865,7.7633886,6.9772015,3.4012506,1.5453095,4.751675,4.429728,4.1741314,Item-Image\1008024_B.jpg
